iter	Passed	Remaining
908	53319	5337
909	53365	5277
910	53412	5218
911	53458	5158
912	53500	5098
913	53546	5038
914	53596	4978
915	53647	4919
916	53706	4861
917	53761	4802
918	53811	4742
919	53859	4683
920	53906	4623
921	53959	4564
922	54013	4505
923	54070	4447
924	54132	4389
925	54198	4331
926	54249	4272
927	54301	4213
928	54359	4154
929	54417	4095
930	54513	4040
931	54575	3981
932	54642	3923
933	54696	3865
934	54753	3806
935	54805	3747
936	54864	3688
937	54916	3629
938	54966	3570
939	55015	3511
940	55077	3453
941	55138	3394
942	55205	3336
943	55263	3278
944	55324	3219
945	55380	3161
946	55435	3102
947	55487	3043
948	55551	2985
949	55628	2927
950	55694	2869
951	55801	2813
952	55948	2759
953	56057	2702
954	56158	2646
955	56224	2587
956	56312	2530
957	56472	2475
958	56603	2419
959	56667	2361
960	56719	2301
961	56780	2242
962	56834	2183
963	56891	2124
964	56949	2065
965	57089	2009
966	57195	1951
967	57318	1894
968	57371	1835
969	57420	1775
970	57471	1716
971	57520	1656
972	57568	1597
973	57619	1538
974	57675	1478
975	57730	1419
976	57800	1360
977	57943	1303
978	58071	1245
979	58167	1187
980	58221	1127
981	58275	1068
982	58318	1008
983	58365	949
984	58414	889
985	58464	830
986	58515	770
987	58560	711
988	58610	651
989	58661	592
990	58708	533
991	58757	473
992	58811	414
993	58864	355
994	58916	296
995	58966	236
996	59015	177
997	59064	118
998	59114	59
999	59158	0
